Date,Open,High,Low,Close,Adj Close,Volume,Open-Google,Volume-Google,Open-IBM,Volume-IBM,Open-Shell Oil,Volume-Shell Oil,Open-General Motors,Volume-General Motors
4/24/2015,235.970001,236.304993,229.932999,231.268005,231.268005,21448700,NA,NA,NA,NA,63.919998,893700,35.720001,21252500
4/25/2015,231.235001,232.561005,226.337006,226.389999,226.389999,13957200,NA,NA,NA,NA,NA,NA,NA,NA
4/26/2015,226.410004,226.944,214.873993,219.429993,219.429993,28943700,NA,NA,NA,NA,NA,NA,NA,NA
4/27/2015,219.429001,233.304993,218.022995,229.285995,229.285995,38574000,572.77002,2403100,170.889999,3168600,64.010002,915600,35.650002,15497400
4/28/2015,228.968994,229.494995,223.069,225.854996,225.854996,21469200,564.320007,1858900,170.830002,5816700,64.080002,1043800,35.75,14857500
4/29/2015,225.591003,227.039993,223.429993,225.807999,225.807999,18936500,560.51001,1681100,173.399994,4518400,63.939999,965400,35.5,11907300
4/30/2015,225.692993,239.563004,224.992996,236.145004,236.145004,33818600,558.559998,2362000,173.770004,5062900,64.519997,1676400,35.259998,15784500
5/1/2015,235.938995,238.966003,232.078995,232.078995,232.078995,18815300,550.51001,1828600,173.199997,3312100,64.419998,964800,35.169998,15307400
5/2/2015,232.341003,235.727005,232.341003,234.929993,234.929993,12535500,NA,NA,NA,NA,NA,NA,NA,NA
5/3/2015,234.880005,243.240005,234.082993,240.358002,240.358002,18494100,NA,NA,NA,NA,NA,NA,NA,NA
5/4/2015,240.356003,242.638,237.809998,239.018005,239.018005,21223400,550.98999,1763000,174.470001,4028000,64.900002,714700,35.5,12020100
5/5/2015,238.852005,239.203995,232.054001,236.121002,236.121002,23929100,550.159973,1426400,173.509995,3593600,65.129997,1329500,35.400002,11068100
5/6/2015,236.248993,236.453995,229.231003,229.781998,229.781998,29587200,542.640015,1951700,172.899994,3612600,64.919998,1039200,35.139999,13076200
5/7/2015,229.662003,239.104996,228.572998,237.334,237.334,29064400,535.900024,1592200,169.630005,2472000,63.490002,2988200,34.639999,14033700
5/8/2015,237.203995,246.274994,236.274002,243.863007,243.863007,27445500,548.869995,1411300,172.940002,3092600,64.889999,1596900,35.049999,12787000
5/9/2015,243.768997,247.804001,239.639008,241.832001,241.832001,19790500,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2015,241.729004,244.067993,238.848999,240.296005,240.296005,15019100,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2015,240.298996,244.270004,239.376007,242.158005,242.158005,20892300,548.48999,1092900,172.649994,2661000,65.199997,1471100,35.299999,8833100
5/12/2015,242.145004,242.880997,240.098999,241.112,241.112,19282600,542.809998,1764100,170.550003,2962400,64.459999,973900,34.959999,14049300
5/13/2015,241.397995,243.703995,235.044998,236.376999,236.376999,27180100,540.469971,1211900,171.240005,2457500,64.419998,749900,34.779999,9196900
5/14/2015,236.214005,237.798996,234.057007,236.929001,236.929001,24413700,543.969971,1586800,173.5,2439100,65.110001,1009000,35,12645300
